make,year,fuel,hp,cylinders,transmission,wd,doors,size,style,highway mpg,city mpg,popularity,msrp,is_factory tuner,is_hybrid,is_luxury,is_performance,is_flex fuel,is_crossover,is_hatchback,is_diesel,is_exotic,is_high-performance
fiat,5,premium unleaded (recommended),160.0,1,MANUAL,rear wheel drive,2.0,Compact,convertible,35.0,26,819,28195,False,False,False,True,False,False,False,False,False,False
mercedes-benz,0,regular unleaded,130.0,1,MANUAL,rear wheel drive,4.0,Compact,sedan,26.0,18,617,2000,False,False,True,False,False,False,False,False,False,False
mercedes-benz,0,regular unleaded,158.0,3,MANUAL,rear wheel drive,4.0,Compact,sedan,25.0,17,617,2000,False,False,True,False,False,False,False,False,False,False
mercedes-benz,0,regular unleaded,158.0,3,MANUAL,rear wheel drive,4.0,Compact,sedan,25.0,17,617,2000,False,False,True,False,False,False,False,False,False,False
mercedes-benz,0,regular unleaded,130.0,1,MANUAL,rear wheel drive,4.0,Compact,sedan,26.0,18,617,2000,False,False,True,False,False,False,False,False,False,False
mercedes-benz,0,regular unleaded,130.0,1,MANUAL,rear wheel drive,4.0,Compact,sedan,26.0,18,617,2000,False,False,True,False,False,False,False,False,False,False
mercedes-benz,0,regular unleaded,158.0,3,MANUAL,rear wheel drive,4.0,Compact,sedan,25.0,17,617,2000,False,False,True,False,False,False,False,False,False,False
bmw,5,premium unleaded (required),240.0,1,AUTOMATIC,rear wheel drive,2.0,Compact,coupe,35.0,23,3916,32850,False,False,True,True,False,False,False,False,False,False
bmw,5,premium unleaded (required),240.0,1,AUTOMATIC,rear wheel drive,2.0,Compact,convertible,34.0,23,3916,38650,False,False,True,False,False,False,False,False,False,False
bmw,5,premium unleaded (required),320.0,3,AUTOMATIC,rear wheel drive,2.0,Compact,convertible,31.0,20,3916,48750,True,False,True,True,False,False,False,False,False,True
bmw,5,premium unleaded (required),240.0,1,AUTOMATIC,all wheel drive,2.0,Compact,coupe,35.0,23,3916,34850,False,False,True,True,False,False,False,False,False,False
bmw,5,premium unleaded (required),240.0,1,AUTOMATIC,all wheel drive,2.0,Compact,convertible,34.0,22,3916,40650,False,False,True,False,False,False,False,False,False,False
bmw,5,premium unleaded (required),320.0,3,AUTOMATIC,rear wheel drive,2.0,Compact,coupe,31.0,20,3916,44150,True,False,True,True,False,False,False,False,False,True
bmw,5,premium unleaded (required),240.0,1,MANUAL,rear wheel drive,2.0,Compact,coupe,34.0,22,3916,32850,False,False,True,True,False,False,False,False,False,False
bmw,5,premium unleaded (required),320.0,3,AUTOMATIC,all wheel drive,2.0,Compact,coupe,30.0,20,3916,46150,True,False,True,True,False,False,False,False,False,True
bmw,5,premium unleaded (required),320.0,3,AUTOMATIC,rear wheel drive,2.0,Compact,convertible,30.0,20,3916,50750,True,False,True,True,False,False,False,False,False,True
bmw,5,premium unleaded (recommended),335.0,3,AUTOMATIC,all wheel drive,2.0,Compact,coupe,31.0,21,3916,46450,True,False,True,True,False,False,False,False,False,True
bmw,5,premium unleaded (recommended),335.0,3,AUTOMATIC,rear wheel drive,2.0,Compact,convertible,32.0,21,3916,49050,True,False,True,True,False,False,False,False,False,True
bmw,5,premium unleaded (recommended),335.0,3,AUTOMATIC,all wheel drive,2.0,Compact,convertible,32.0,21,3916,51050,True,False,True,True,False,False,False,False,False,True
bmw,5,premium unleaded (recommended),335.0,3,AUTOMATIC,rear wheel drive,2.0,Compact,coupe,32.0,21,3916,44450,True,False,True,True,False,False,False,False,False,True
bmw,5,premium unleaded (recommended),248.0,1,AUTOMATIC,rear wheel drive,2.0,Compact,convertible,34.0,23,3916,38950,False,False,True,True,False,False,False,False,False,False
bmw,5,premium unleaded (recommended),248.0,1,AUTOMATIC,rear wheel drive,2.0,Compact,coupe,35.0,24,3916,33150,False,False,True,True,False,False,False,False,False,False
bmw,5,premium unleaded (recommended),248.0,1,AUTOMATIC,all wheel drive,2.0,Compact,coupe,33.0,24,3916,35150,False,False,True,True,False,False,False,False,False,False
bmw,5,premium unleaded (recommended),248.0,1,AUTOMATIC,all wheel drive,2.0,Compact,convertible,33.0,23,3916,40950,False,False,True,False,False,False,False,False,False,False
audi,0,regular unleaded,162.0,2,AUTOMATIC,front wheel drive,4.0,Midsize,sedan,20.0,16,3105,2000,False,False,True,False,False,False,False,False,False,False
audi,0,regular unleaded,162.0,2,MANUAL,all wheel drive,4.0,Midsize,wagon,22.0,15,3105,2000,False,False,True,False,False,False,False,False,False,False
audi,0,regular unleaded,162.0,2,MANUAL,all wheel drive,4.0,Midsize,sedan,23.0,15,3105,2000,False,False,True,False,False,False,False,False,False,False
audi,0,regular unleaded,217.0,2,MANUAL,all wheel drive,4.0,Midsize,sedan,22.0,16,3105,2000,False,False,True,True,False,False,False,False,False,False
audi,0,regular unleaded,217.0,2,MANUAL,all wheel drive,4.0,Midsize,wagon,22.0,16,3105,2000,False,False,True,True,False,False,False,False,False,False
audi,0,regular unleaded,162.0,2,AUTOMATIC,front wheel drive,4.0,Midsize,sedan,20.0,16,3105,2000,False,False,True,False,False,False,False,False,False,False
chrysler,5,flex-fuel (unleaded/e85),184.0,1,AUTOMATIC,front wheel drive,4.0,Midsize,sedan,36.0,23,1013,25170,False,False,False,False,True,False,False,False,False,False
chrysler,5,flex-fuel (unleaded/e85),184.0,1,AUTOMATIC,front wheel drive,4.0,Midsize,sedan,36.0,23,1013,23950,False,False,False,False,True,False,False,False,False,False
chrysler,5,flex-fuel (unleaded/e85),295.0,3,AUTOMATIC,all wheel drive,4.0,Midsize,sedan,29.0,18,1013,29370,False,False,False,True,True,False,False,False,False,False
chrysler,5,flex-fuel (unleaded/e85),184.0,1,AUTOMATIC,front wheel drive,4.0,Midsize,sedan,36.0,23,1013,21995,False,False,False,False,True,False,False,False,False,False
chrysler,5,flex-fuel (unleaded/e85),184.0,1,AUTOMATIC,front wheel drive,4.0,Midsize,sedan,36.0,23,1013,26625,False,False,False,True,True,False,False,False,False,False
chrysler,5,flex-fuel (unleaded/e85),295.0,3,AUTOMATIC,all wheel drive,4.0,Midsize,sedan,29.0,18,1013,30825,False,False,False,True,True,False,False,False,False,False
chrysler,5,flex-fuel (unleaded/e85),184.0,1,AUTOMATIC,front wheel drive,4.0,Midsize,sedan,36.0,23,1013,21995,False,False,False,False,True,False,False,False,False,False
chrysler,5,flex-fuel (unleaded/e85),184.0,1,AUTOMATIC,front wheel drive,4.0,Midsize,sedan,36.0,23,1013,27795,False,False,False,False,True,False,False,False,False,False
chrysler,5,flex-fuel (unleaded/e85),295.0,3,AUTOMATIC,all wheel drive,4.0,Midsize,sedan,29.0,18,1013,31785,False,False,False,True,True,False,False,False,False,False
chrysler,5,flex-fuel (unleaded/e85),295.0,3,AUTOMATIC,all wheel drive,4.0,Midsize,sedan,29.0,18,1013,29905,False,False,False,True,True,False,False,False,False,False
chrysler,5,flex-fuel (unleaded/e85),184.0,1,AUTOMATIC,front wheel drive,4.0,Midsize,sedan,36.0,23,1013,22490,False,False,False,False,True,False,False,False,False,False
chrysler,5,flex-fuel (unleaded/e85),184.0,1,AUTOMATIC,front wheel drive,4.0,Midsize,sedan,36.0,23,1013,27570,False,False,False,False,True,False,False,False,False,False
chrysler,5,flex-fuel (unleaded/e85),184.0,1,AUTOMATIC,front wheel drive,4.0,Midsize,sedan,36.0,23,1013,25690,False,False,False,False,True,False,False,False,False,False
chrysler,5,flex-fuel (unleaded/e85),184.0,1,AUTOMATIC,front wheel drive,4.0,Midsize,sedan,36.0,23,1013,24490,False,False,False,False,True,False,False,False,False,False
chrysler,5,flex-fuel (unleaded/e85),295.0,3,AUTOMATIC,all wheel drive,4.0,Midsize,sedan,28.0,18,1013,29905,False,False,False,True,True,False,False,False,False,False
chrysler,5,flex-fuel (unleaded/e85),295.0,3,AUTOMATIC,all wheel drive,4.0,Midsize,sedan,28.0,18,1013,31785,False,False,False,True,True,False,False,False,False,False
chrysler,5,flex-fuel (unleaded/e85),184.0,1,AUTOMATIC,front wheel drive,4.0,Midsize,sedan,36.0,23,1013,26685,False,False,False,False,True,False,False,False,False,False
chrysler,5,flex-fuel (unleaded/e85),184.0,1,AUTOMATIC,front wheel drive,4.0,Midsize,sedan,36.0,23,1013,22490,False,False,False,False,True,False,False,False,False,False
chrysler,5,flex-fuel (unleaded/e85),184.0,1,AUTOMATIC,front wheel drive,4.0,Midsize,sedan,36.0,23,1013,25690,False,False,False,False,True,False,False,False,False,False
chrysler,5,flex-fuel (unleaded/e85),295.0,3,AUTOMATIC,all wheel drive,4.0,Midsize,sedan,28.0,18,1013,30900,False,False,False,True,True,False,False,False,False,False
chrysler,5,flex-fuel (unleaded/e85),184.0,1,AUTOMATIC,front wheel drive,4.0,Midsize,sedan,36.0,23,1013,27795,False,False,False,False,True,False,False,False,False,False
chrysler,5,flex-fuel (unleaded/e85),184.0,1,AUTOMATIC,front wheel drive,4.0,Midsize,sedan,36.0,23,1013,21995,False,False,False,False,True,False,False,False,False,False
chrysler,5,flex-fuel (unleaded/e85),184.0,1,AUTOMATIC,front wheel drive,4.0,Midsize,sedan,36.0,23,1013,24490,False,False,False,False,True,False,False,False,False,False
nissan,1,regular unleaded,140.0,1,MANUAL,front wheel drive,2.0,Compact,coupe,29.0,21,2009,2000,False,False,False,True,False,False,False,False,False,False
nissan,1,regular unleaded,140.0,1,MANUAL,front wheel drive,2.0,Compact,coupe,29.0,21,2009,2000,False,False,False,True,False,False,False,False,False,False
nissan,1,regular unleaded,140.0,1,MANUAL,front wheel drive,2.0,Compact,coupe,28.0,20,2009,2073,False,False,False,True,False,False,False,False,False,False
nissan,1,regular unleaded,155.0,1,MANUAL,rear wheel drive,2.0,Compact,coupe,26.0,19,2009,3713,False,False,False,True,False,False,False,False,False,False
nissan,1,regular unleaded,155.0,1,MANUAL,rear wheel drive,2.0,Compact,coupe,26.0,19,2009,3520,False,False,False,True,False,False,False,False,False,False
nissan,1,regular unleaded,155.0,1,MANUAL,rear wheel drive,2.0,Compact,coupe,26.0,19,2009,3910,False,False,False,True,False,False,False,False,False,False
nissan,1,regular unleaded,155.0,1,MANUAL,rear wheel drive,2.0,Compact,coupe,26.0,19,2009,4182,False,False,False,True,False,False,False,False,False,False
nissan,1,regular unleaded,155.0,1,MANUAL,rear wheel drive,2.0,Compact,coupe,26.0,19,2009,4107,False,False,False,True,False,False,False,False,False,False
nissan,1,regular unleaded,155.0,1,MANUAL,rear wheel drive,2.0,Compact,coupe,25.0,20,2009,4299,False,False,False,True,False,False,False,False,False,False
nissan,1,regular unleaded,155.0,1,MANUAL,rear wheel drive,2.0,Compact,coupe,25.0,20,2009,4693,False,False,False,True,False,False,False,False,False,False
nissan,1,regular unleaded,155.0,1,MANUAL,rear wheel drive,2.0,Compact,coupe,25.0,20,2009,4107,False,False,False,True,False,False,False,False,False,False
volvo,0,regular unleaded,114.0,1,MANUAL,rear wheel drive,4.0,Midsize,wagon,26.0,19,870,2000,False,False,True,False,False,False,False,False,False,False
volvo,0,regular unleaded,114.0,1,AUTOMATIC,rear wheel drive,4.0,Midsize,wagon,23.0,18,870,2000,False,False,True,False,False,False,False,False,False,False
volvo,0,regular unleaded,114.0,1,MANUAL,rear wheel drive,4.0,Midsize,sedan,26.0,19,870,2000,False,False,True,False,False,False,False,False,False,False
volvo,0,regular unleaded,114.0,1,MANUAL,rear wheel drive,4.0,Midsize,sedan,26.0,19,870,2000,False,False,True,False,False,False,False,False,False,False
volvo,0,regular unleaded,114.0,1,MANUAL,rear wheel drive,4.0,Midsize,wagon,26.0,19,870,2000,False,False,True,False,False,False,False,False,False,False
volvo,0,regular unleaded,114.0,1,MANUAL,rear wheel drive,4.0,Midsize,sedan,26.0,19,870,2000,False,False,True,False,False,False,False,False,False,False
volvo,0,regular unleaded,114.0,1,MANUAL,rear wheel drive,4.0,Midsize,sedan,26.0,19,870,2000,False,False,True,False,False,False,False,False,False,False
volvo,0,regular unleaded,114.0,1,MANUAL,rear wheel drive,4.0,Midsize,wagon,25.0,18,870,2000,False,False,True,False,False,False,False,False,False,False
mazda,4,regular unleaded,100.0,1,MANUAL,front wheel drive,4.0,Compact,hatchback,35.0,29,586,16020,False,False,False,False,False,False,True,False,False,False
mazda,4,regular unleaded,100.0,1,MANUAL,front wheel drive,4.0,Compact,hatchback,35.0,29,586,14530,False,False,False,False,False,False,True,False,False,False
mazda,4,regular unleaded,100.0,1,AUTOMATIC,front wheel drive,4.0,Compact,hatchback,34.0,28,586,16860,False,False,False,False,False,False,True,False,False,False
mazda,4,regular unleaded,100.0,1,AUTOMATIC,front wheel drive,4.0,Compact,hatchback,34.0,28,586,15370,False,False,False,False,False,False,True,False,False,False
mazda,4,regular unleaded,100.0,1,AUTOMATIC,front wheel drive,4.0,Compact,hatchback,34.0,28,586,17050,False,False,False,False,False,False,True,False,False,False
mazda,4,regular unleaded,100.0,1,AUTOMATIC,front wheel drive,4.0,Compact,hatchback,34.0,28,586,15560,False,False,False,False,False,False,True,False,False,False
mazda,4,regular unleaded,100.0,1,MANUAL,front wheel drive,4.0,Compact,hatchback,35.0,29,586,16210,False,False,False,False,False,False,True,False,False,False
mazda,4,regular unleaded,100.0,1,MANUAL,front wheel drive,4.0,Compact,hatchback,35.0,29,586,14720,False,False,False,False,False,False,True,False,False,False
mazda,4,regular unleaded,100.0,1,AUTOMATIC,front wheel drive,4.0,Compact,hatchback,34.0,28,586,17050,False,False,False,False,False,False,True,False,False,False
mazda,4,regular unleaded,100.0,1,AUTOMATIC,front wheel drive,4.0,Compact,hatchback,34.0,28,586,15560,False,False,False,False,False,False,True,False,False,False
mazda,4,regular unleaded,100.0,1,MANUAL,front wheel drive,4.0,Compact,hatchback,35.0,29,586,16210,False,False,False,False,False,False,True,False,False,False
mazda,4,regular unleaded,100.0,1,MANUAL,front wheel drive,4.0,Compact,hatchback,35.0,29,586,14720,False,False,False,False,False,False,True,False,False,False
bmw,5,premium unleaded (required),300.0,3,AUTOMATIC,all wheel drive,4.0,Midsize,hatchback,30.0,20,3916,47250,False,False,True,True,False,False,True,False,False,False
bmw,5,premium unleaded (required),240.0,1,AUTOMATIC,all wheel drive,4.0,Midsize,hatchback,33.0,22,3916,41850,False,False,True,False,False,False,True,False,False,False
bmw,5,premium unleaded (required),240.0,1,AUTOMATIC,all wheel drive,4.0,Midsize,hatchback,33.0,22,3916,41850,False,False,True,False,False,False,True,False,False,False
bmw,5,premium unleaded (required),240.0,1,AUTOMATIC,all wheel drive,4.0,Midsize,hatchback,34.0,22,3916,43000,False,False,True,False,False,False,True,False,False,False
bmw,5,premium unleaded (required),300.0,3,AUTOMATIC,all wheel drive,4.0,Midsize,hatchback,30.0,20,3916,49200,False,False,True,True,False,False,True,False,False,False
bmw,5,premium unleaded (required),320.0,3,AUTOMATIC,all wheel drive,4.0,Midsize,hatchback,30.0,20,3916,49650,False,False,True,True,False,False,True,False,False,False
bmw,5,premium unleaded (required),248.0,1,AUTOMATIC,all wheel drive,4.0,Midsize,hatchback,33.0,23,3916,43950,False,False,True,False,False,False,True,False,False,False
bmw,5,premium unleaded (required),241.0,1,AUTOMATIC,all wheel drive,4.0,Midsize,wagon,33.0,22,3916,41950,False,False,True,False,False,False,False,False,False,False
bmw,5,premium unleaded (required),335.0,3,AUTOMATIC,rear wheel drive,4.0,Midsize,sedan,33.0,25,3916,50150,False,True,True,True,False,False,False,False,False,True
bmw,5,premium unleaded (required),240.0,1,AUTOMATIC,rear wheel drive,4.0,Midsize,sedan,35.0,23,3916,37500,False,False,True,True,False,False,False,False,False,False
bmw,5,premium unleaded (required),300.0,3,AUTOMATIC,rear wheel drive,4.0,Midsize,sedan,32.0,21,3916,43750,False,False,True,True,False,False,False,False,False,True
bmw,5,diesel,180.0,1,AUTOMATIC,rear wheel drive,4.0,Midsize,sedan,45.0,32,3916,39000,False,False,True,False,False,False,False,True,False,False
bmw,5,premium unleaded (required),240.0,1,AUTOMATIC,all wheel drive,4.0,Midsize,sedan,33.0,22,3916,39500,False,False,True,False,False,False,False,False,False,False
bmw,5,premium unleaded (required),240.0,1,AUTOMATIC,all wheel drive,4.0,Midsize,sedan,33.0,22,3916,39500,False,False,True,False,False,False,False,False,False,False
bmw,5,premium unleaded (required),180.0,1,AUTOMATIC,all wheel drive,4.0,Midsize,sedan,35.0,23,3916,34950,False,False,True,False,False,False,False,False,False,False
bmw,5,premium unleaded (required),300.0,3,AUTOMATIC,all wheel drive,4.0,Midsize,sedan,30.0,20,3916,45750,False,False,True,True,False,False,False,False,False,False
bmw,5,diesel,180.0,1,AUTOMATIC,all wheel drive,4.0,Midsize,wagon,43.0,31,3916,43450,False,False,True,False,False,False,False,True,False,False
bmw,5,premium unleaded (required),240.0,1,AUTOMATIC,rear wheel drive,4.0,Midsize,sedan,35.0,23,3916,37500,False,False,True,True,False,False,False,False,False,False
bmw,5,diesel,180.0,1,AUTOMATIC,all wheel drive,4.0,Midsize,sedan,43.0,31,3916,41000,False,False,True,False,False,False,False,True,False,False
bmw,5,premium unleaded (required),180.0,1,AUTOMATIC,rear wheel drive,4.0,Midsize,sedan,36.0,24,3916,32950,False,False,True,False,False,False,False,False,False,False
bmw,5,diesel,180.0,1,AUTOMATIC,all wheel drive,4.0,Midsize,sedan,40.0,30,3916,41850,False,False,True,False,False,False,False,True,False,False
bmw,5,premium unleaded (required),320.0,3,AUTOMATIC,all wheel drive,4.0,Midsize,sedan,33.0,22,3916,47800,False,False,True,True,False,False,False,False,False,True
bmw,5,diesel,180.0,1,AUTOMATIC,rear wheel drive,4.0,Midsize,sedan,42.0,32,3916,39850,False,False,True,False,False,False,False,True,False,False
bmw,5,premium unleaded (required),240.0,1,AUTOMATIC,rear wheel drive,4.0,Midsize,sedan,34.0,22,3916,38350,False,False,True,True,False,False,False,False,False,False
bmw,5,premium unleaded (required),240.0,1,AUTOMATIC,all wheel drive,4.0,Midsize,sedan,34.0,22,3916,40350,False,False,True,False,False,False,False,False,False,False
bmw,5,premium unleaded (required),240.0,1,MANUAL,rear wheel drive,4.0,Midsize,sedan,34.0,22,3916,38350,False,False,True,True,False,False,False,False,False,False
bmw,5,premium unleaded (required),240.0,1,AUTOMATIC,all wheel drive,4.0,Midsize,wagon,34.0,22,3916,42650,False,False,True,False,False,False,False,False,False,False
bmw,5,premium unleaded (required),180.0,1,AUTOMATIC,rear wheel drive,4.0,Midsize,sedan,36.0,24,3916,33150,False,False,True,False,False,False,False,False,False,False
bmw,5,premium unleaded (required),180.0,1,AUTOMATIC,all wheel drive,4.0,Midsize,sedan,35.0,23,3916,35150,False,False,True,False,False,False,False,False,False,False
bmw,5,diesel,180.0,1,AUTOMATIC,all wheel drive,4.0,Midsize,wagon,40.0,30,3916,44150,False,False,True,False,False,False,False,True,False,False
bmw,5,premium unleaded (required),320.0,3,AUTOMATIC,rear wheel drive,4.0,Midsize,sedan,33.0,22,3916,45800,False,False,True,True,False,False,False,False,False,True
bmw,5,premium unleaded (recommended),248.0,1,AUTOMATIC,rear wheel drive,4.0,Midsize,sedan,34.0,23,3916,38750,False,False,True,True,False,False,False,False,False,False
bmw,5,premium unleaded (recommended),180.0,1,AUTOMATIC,all wheel drive,4.0,Midsize,sedan,34.0,23,3916,35450,False,False,True,False,False,False,False,False,False,False
bmw,5,premium unleaded (recommended),180.0,1,AUTOMATIC,rear wheel drive,4.0,Midsize,sedan,35.0,23,3916,33450,False,False,True,False,False,False,False,False,False,False
bmw,5,premium unleaded (recommended),248.0,1,AUTOMATIC,all wheel drive,4.0,Midsize,sedan,33.0,23,3916,40750,False,False,True,False,False,False,False,False,False,False
bmw,5,diesel,180.0,1,AUTOMATIC,all wheel drive,4.0,Midsize,sedan,40.0,30,3916,42250,False,False,True,False,False,False,False,True,False,False
bmw,5,premium unleaded (recommended),248.0,1,AUTOMATIC,all wheel drive,4.0,Midsize,wagon,33.0,23,3916,42950,False,False,True,False,False,False,False,False,False,False
bmw,5,diesel,180.0,1,AUTOMATIC,rear wheel drive,4.0,Midsize,sedan,42.0,32,3916,40250,False,False,True,False,False,False,False,True,False,False
bmw,5,premium unleaded (recommended),320.0,3,AUTOMATIC,all wheel drive,4.0,Midsize,sedan,31.0,21,3916,49900,False,False,True,True,False,False,False,False,False,False
bmw,5,premium unleaded (recommended),320.0,3,AUTOMATIC,rear wheel drive,4.0,Midsize,sedan,32.0,21,3916,47900,False,False,True,True,False,False,False,False,False,True
bmw,5,diesel,180.0,1,AUTOMATIC,all wheel drive,4.0,Midsize,wagon,40.0,30,3916,44450,False,False,True,False,False,False,False,True,False,False
mercedes-benz,0,regular unleaded,177.0,3,AUTOMATIC,rear wheel drive,4.0,Large,sedan,19.0,15,617,2232,False,False,True,False,False,False,False,False,False,False
mercedes-benz,0,regular unleaded,177.0,3,AUTOMATIC,rear wheel drive,4.0,Midsize,wagon,20.0,15,617,2000,False,False,True,False,False,False,False,False,False,False
mercedes-benz,0,regular unleaded,158.0,3,AUTOMATIC,rear wheel drive,4.0,Midsize,sedan,22.0,17,617,2000,False,False,True,False,False,False,False,False,False,False
mercedes-benz,0,regular unleaded,177.0,3,AUTOMATIC,all wheel drive,4.0,Midsize,sedan,20.0,15,617,2105,False,False,True,False,False,False,False,False,False,False
mercedes-benz,0,regular unleaded,177.0,3,AUTOMATIC,all wheel drive,4.0,Midsize,wagon,18.0,15,617,2199,False,False,True,False,False,False,False,False,False,False
mercedes-benz,0,regular unleaded,177.0,3,AUTOMATIC,rear wheel drive,4.0,Midsize,sedan,22.0,16,617,2000,False,False,True,False,False,False,False,False,False,False
mercedes-benz,0,regular unleaded,177.0,3,AUTOMATIC,rear wheel drive,4.0,Large,sedan,19.0,15,617,2124,False,False,True,False,False,False,False,False,False,False
mercedes-benz,0,regular unleaded,228.0,3,MANUAL,rear wheel drive,2.0,Compact,convertible,21.0,14,617,3552,False,False,True,True,False,False,False,False,False,False
mercedes-benz,0,regular unleaded,217.0,3,AUTOMATIC,rear wheel drive,2.0,Midsize,coupe,22.0,15,617,2179,False,False,True,False,False,False,False,False,False,False
mercedes-benz,0,diesel,121.0,2,AUTOMATIC,rear wheel drive,4.0,Midsize,sedan,30.0,23,617,2000,False,False,True,False,False,False,False,True,False,False
